Sample,Cohort,Ploidy_factor.MESOMICS,Morphology_factor.MESOMICS,Adaptive-response_factor.MESOMICS,CIMP-index_factor.MESOMICS,LF5.MESOMICS,LF6.MESOMICS,LF7.MESOMICS,LF8.MESOMICS,LF9.MESOMICS,LF10.MESOMICS
MESO_001_T,MESOMICS,0.45098901,-0.505554958,-0.146773428,-1.04108277,-0.334231331,0.274430438,0.165816066,0.06848981,0.532096671,0.012010471
MESO_002_T2,MESOMICS,-0.37990731,-1.597689175,1.0533992,-1.9039541,-0.37614432,0.162492533,0.170217228,-0.464413888,0.381316619,0.507672911
MESO_003_T2,MESOMICS,-0.347581165,-0.154642142,-0.777951914,-1.899639599,0.531652614,-0.534270367,0.032287455,0.288761335,-1.288745808,1.014317625
MESO_006_T,MESOMICS,-0.540197796,0.770988661,-2.580185429,2.358453506,0.650983927,-2.576458494,-0.883409387,0.344046326,-0.284019697,-2.329982523
MESO_007_T,MESOMICS,5.367227559,2.529942392,-0.872023601,-1.766620766,0.374115668,-1.777550943,-0.800038569,0.469309987,-3.085931206,-0.381148838
MESO_009_T,MESOMICS,0.269630062,0.238647669,0.299433494,-1.596911298,-0.770070129,-0.980692596,-0.190043848,0.108327834,-0.00476306,-0.11699108
MESO_010_T,MESOMICS,-0.160541775,0.648004061,-1.689891611,-0.74519351,2.185284889,-0.661890612,1.351894541,-0.670781343,-1.631181687,-0.276527266
MESO_011_T,MESOMICS,-0.63112698,0.819021492,-1.502630122,-1.370938584,0.645642326,-0.986250822,-0.106422104,-0.138046536,-1.778826064,1.641172854
MESO_012_T,MESOMICS,-0.406526458,-0.123958483,2.427155565,-1.362153995,-0.795497164,0.230775759,0.101884383,-0.429647449,0.367760861,0.037165512
MESO_013_T,MESOMICS,-1.090156602,1.442228397,-1.868689032,0.10357305,0.637708076,-0.159276416,-1.420484545,0.196669608,-0.112280367,1.573405421
MESO_014_T,MESOMICS,3.959926261,0.565335033,-1.24376592,-0.19924939,0.195691125,-0.062664382,1.327838904,0.380454692,1.734230357,-1.019209491
MESO_015_T,MESOMICS,-0.545577527,1.913064963,-0.874476063,-1.24113093,1.424840429,-0.667754697,0.645731449,-0.354857615,0.629761938,-0.257617285
